Entry_ID,Domesticated,IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,General_Category_or_Family,C4_Plant,Sampled_Element,Cultural_Horizon,Species,Site_Description,Genus,Absolute_Chronology,General_Category_or_Family.1,Modern_Country,cronologia,%C,%N,C:N,peso_mg,pre-treatment,contexto,method
99,yes,-22.6,6.9,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,durum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
100,yes,-22.1,5.6,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,durum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
101,yes,-21.6,7.7,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,durum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
102,yes,-21.6,5.1,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,durum,Settlement,Triticum,500 BCE - 0,Poaceae,Spain,,,,,,,,
103,yes,-10.8,9.8,42.542984,-2.580537,Poaceae,yes,Seed,Celtiberian,milliaceum,Settlement,Panicum,500 BCE - 0,Poaceae,Spain,,,,,,,,
104,yes,-10.9,10.6,42.542984,-2.580537,Poaceae,yes,Seed,Celtiberian,milliaceum,Settlement,Panicum,500 BCE - 0,Poaceae,Spain,,,,,,,,
105,yes,-10.6,10.3,42.542984,-2.580537,Poaceae,yes,Seed,Celtiberian,milliaceum,Settlement,Panicum,500 BCE - 0,Poaceae,Spain,,,,,,,,
106,yes,-24.5,3.5,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,sp.,Settlement,Avena,500 BCE - 0,Poaceae,Spain,,,,,,,,
107,yes,-25.0,4.1,42.542984,-2.580537,Poaceae,no,Seed,Celtiberian,sp.,Settlement,Avena,500 BCE - 0,Poaceae,Spain,,,,,,,,
136,yes,-22.6,4.79,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
137,yes,-23.43,3.41,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
138,yes,-23.76,4.28,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
139,yes,-21.85,6.4,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
