IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,Chronological_Period_clean,Mediterranean_Basin
-23.5,2.1,41.496667,13.489629,Early_Bronze_Age,Central_Med
-22.4,6.3,42.542984,-2.580537,Late_Iron_Age,Western_Med
-23.2,5.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.62,1.34,38.285047,26.702271,Chalcolithic,Eastern_Med
-24.0,2.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-20.87,7.98,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-22.3,5.5,37.062972,22.420611,Late_Neolithic,Central_Med
-23.5,5.2,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-23.54,1.3,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-24.1,0.1,40.418397,22.591694,Late_Neolithic,Central_Med
-23.36,3.95,35.2994728,25.1616528,Late_Neolithic,Eastern_Med
-24.1,-2.4,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-23.8,3.5,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.4,3.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.5,2.2,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-24.5,3.1,37.062972,22.420611,Late_Neolithic,Central_Med
-22.5,1.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.7,3.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.25,0.21,35.9475,39.036111,Other,Eastern_Med
-24.6,6.2,43.568092,3.903369,Late_Iron_Age,Western_Med
-25.0,1.4,41.496667,13.489629,Early_Bronze_Age,Central_Med
-24.7,0.9,41.496667,13.489629,Early_Bronze_Age,Central_Med
-24.5,2.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.4,0.9,40.418422,22.591694,Late_Neolithic,Central_Med
-22.52,2.93,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-23.0,4.5,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.0,3.5,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-22.84,4.52,35.028639,33.2426969,Middle_Late_Bronze_Age,Eastern_Med
-21.3,0.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-25.1,-2.5,37.062972,22.420611,Late_Neolithic,Central_Med
