Entry_ID,Archaeological_Site,IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,General_Category_or_Family,Sampled_Element,Cultural_Horizon,Species,Genus,Absolute_Chronology,Modern_Country,Mediterranean_Basin,Fecha_Min_BP_corr,Fecha_Max_BP_corr,Chronological_Period_corr,Chronological_Period_clean,Cereal
74,Fontbrégoua,-22.1,2.7,43.564007,6.232571,Poaceae,Seed,Recent Chasséen,dicoccum,Triticum ,,France,Western_Med,,,Historical_Other,Other,wheat
75,Fontbrégoua,-23.2,6.0,43.564007,6.232571,Poaceae,Seed,Recent Chasséen,dicoccum,Triticum ,,France,Western_Med,,,Historical_Other,Other,wheat
76,Jardins de Vert Parc,-23.1,3.1,43.632983,3.897505,Poaceae,Seed,Recent Chasséen,aestivum/turgidum,Triticum,4000 - 3500 BCE,France,Western_Med,5950.0,5450.0,Chalcolithic,Chalcolithic,wheat
77,Jardins de Vert Parc,-22.0,2.9,43.632983,3.897505,Poaceae,Seed,Recent Chasséen,aestivum/turgidum,Triticum,4000 - 3500 BCE,France,Western_Med,5950.0,5450.0,Chalcolithic,Chalcolithic,wheat
78,Burlière,-21.7,6.4,43.446908,5.685143,Poaceae,Seed,Recent Chasséen ; Final Chasséen,monococcum,Triticum,4000 - 3500 BCE ; 3500 - 3000 BCE,France,Western_Med,5950.0,5450.0,Chalcolithic,Chalcolithic,wheat
79,Burlière,-22.0,3.1,43.446908,5.685143,Poaceae,Seed,Recent Chasséen ; Final Chasséen,monococcum,Triticum,4000 - 3500 BCE ; 3500 - 3000 BCE,France,Western_Med,5950.0,5450.0,Chalcolithic,Chalcolithic,wheat
80,Burlière,-22.1,4.6,43.446908,5.685143,Poaceae,Seed,Recent Chasséen ; Final Chasséen,dicoccum,Triticum ,4000 - 3500 BCE ; 3500 - 3000 BCE,France,Western_Med,5950.0,5450.0,Chalcolithic,Chalcolithic,wheat
81,Burlière,-21.0,6.4,43.446908,5.685143,Poaceae,Seed,Recent Chasséen ; Final Chasséen,dicoccum,Triticum ,4000 - 3500 BCE ; 3500 - 3000 BCE,France,Western_Med,5950.0,5450.0,Chalcolithic,Chalcolithic,wheat
82,La Hoya,-22.4,6.3,42.542984,-2.580537,Poaceae,Seed,Celtiberian,monococcum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
83,La Hoya,-21.9,7.2,42.542984,-2.580537,Poaceae,Seed,Celtiberian,monococcum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
84,La Hoya,-22.6,7.0,42.542984,-2.580537,Poaceae,Seed,Celtiberian,dicoccum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
85,La Hoya,-22.3,7.5,42.542984,-2.580537,Poaceae,Seed,Celtiberian,dicoccum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
86,La Hoya,-22.2,7.3,42.542984,-2.580537,Poaceae,Seed,Celtiberian,durum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
87,La Hoya,-22.6,6.3,42.542984,-2.580537,Poaceae,Seed,Celtiberian,durum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
88,La Hoya,-23.5,6.4,42.542984,-2.580537,Poaceae,Seed,Celtiberian,vulgare,Hordeum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,barley
89,La Hoya,-23.4,6.5,42.542984,-2.580537,Poaceae,Seed,Celtiberian,vulgare,Hordeum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,barley
90,La Hoya,-21.7,7.9,42.542984,-2.580537,Poaceae,Seed,Celtiberian,monococcum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
91,La Hoya,-21.7,7.1,42.542984,-2.580537,Poaceae,Seed,Celtiberian,monococcum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
92,La Hoya,-22.3,7.4,42.542984,-2.580537,Poaceae,Seed,Celtiberian,dicoccum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
93,La Hoya,-21.6,7.3,42.542984,-2.580537,Poaceae,Seed,Celtiberian,dicoccum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
94,La Hoya,-22.0,8.5,42.542984,-2.580537,Poaceae,Seed,Celtiberian,spelta,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
95,La Hoya,-21.6,7.5,42.542984,-2.580537,Poaceae,Seed,Celtiberian,spelta,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
96,La Hoya,-22.4,7.5,42.542984,-2.580537,Poaceae,Seed,Celtiberian,vulgare,Hordeum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,barley
97,La Hoya,-22.3,6.7,42.542984,-2.580537,Poaceae,Seed,Celtiberian,dicoccum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
98,La Hoya,-22.5,6.6,42.542984,-2.580537,Poaceae,Seed,Celtiberian,dicoccum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
99,La Hoya,-22.6,6.9,42.542984,-2.580537,Poaceae,Seed,Celtiberian,durum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
100,La Hoya,-22.1,5.6,42.542984,-2.580537,Poaceae,Seed,Celtiberian,durum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
101,La Hoya,-21.6,7.7,42.542984,-2.580537,Poaceae,Seed,Celtiberian,durum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
102,La Hoya,-21.6,5.1,42.542984,-2.580537,Poaceae,Seed,Celtiberian,durum,Triticum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,wheat
